Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Delay 1800,,,,2022-07-18 22:23:40,2022-07-18 23:23:41,"1h - 1,046s",PASSED
,,,,,,,
Test Cases/Delay 1800,,,,2022-07-18 22:23:40,2022-07-18 23:23:41,"1h - 0,669s",PASSED
delay(3600),,,,2022-07-18 22:23:40,2022-07-18 23:23:41,"1h - 0,217s",PASSED
